,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
341,533341.98,4386163.82,0.0,0.0
342,533349.73,4386157.97,0.0,0.0
343,533358.59,4386152.24,0.0,0.0
344,533367.2,4386146.62,0.0,0.0
345,533374.16,4386143.76,0.0,0.0
346,533384.23,4386137.37,0.0,0.0
347,533392.06,4386133.07,0.0,0.0
348,533400.84,4386126.79,0.0,0.0
349,533408.41,4386124.49,0.0,0.0
350,533413.67,4386117.96,0.0,0.0
351,533422.88,4386112.68,0.0,0.0
352,533430.27,4386109.05,0.0,0.0
353,533438.19,4386104.75,0.0,0.0
354,533451.09,4386097.93,0.0,0.0
355,533458.4,4386095.18,0.0,0.0
356,533467.01,4386089.89,0.0,0.0
357,533474.75,4386085.93,0.0,0.0
358,533482.93,4386080.31,0.0,0.0
359,533490.41,4386075.34,0.0,0.0
360,533498.17,4386069.16,0.0,0.0
361,533506.43,4386064.54,0.0,0.0
362,533513.91,4386060.8,0.0,0.0
363,533461.87,4386008.41,0.0,0.0
364,533453.43,4386013.81,0.0,0.0
365,533443.52,4386022.64,0.0,0.0
366,533433.8,4386028.04,0.0,0.0
367,533424.0,4386032.77,0.0,0.0
368,533414.09,4386040.27,0.0,0.0
369,533403.77,4386046.33,0.0,0.0
370,533387.92,4386039.83,0.0,0.0
371,533378.8,4386045.34,0.0,0.0
372,533368.04,4386051.73,0.0,0.0
373,533357.1,4386059.89,0.0,0.0
374,533346.95,4386065.84,0.0,0.0
375,533333.54,4386070.56,0.0,0.0
376,533327.15,4386079.96,0.0,0.0
377,533316.73,4386086.91,0.0,0.0
378,533308.05,4386089.76,0.0,0.0
379,533298.16,4386094.93,0.0,0.0
380,533329.02,4386004.95,0.0,0.0
381,533341.48,4386000.56,0.0,0.0
382,533324.3,4386142.14,0.0,0.0
383,533333.91,4386135.27,0.0,0.0
384,533340.89,4386128.85,0.0,0.0
385,533350.27,4386122.82,0.0,0.0
386,533359.43,4386117.31,0.0,0.0
387,533367.19,4386112.16,0.0,0.0
388,533375.59,4386108.42,0.0,0.0
389,533382.93,4386103.14,0.0,0.0
390,533390.98,4386099.9,0.0,0.0
391,533399.56,4386095.94,0.0,0.0
392,533406.35,4386091.38,0.0,0.0
393,533415.62,4386085.92,0.0,0.0
394,533423.78,4386080.61,0.0,0.0
395,533431.78,4386075.62,0.0,0.0
396,533441.69,4386068.24,0.0,0.0
397,533455.71,4386059.58,0.0,0.0
398,533463.07,4386054.88,0.0,0.0
399,533473.45,4386049.75,0.0,0.0
400,533481.85,4386046.12,0.0,0.0
401,533491.6,4386039.88,0.0,0.0
402,533439.25,4385985.8,0.0,0.0
403,533428.74,4385992.03,0.0,0.0
404,533420.22,4385997.84,0.0,0.0
405,533409.95,4386003.55,0.0,0.0
406,533400.24,4386009.82,0.0,0.0
407,533391.27,4386014.37,0.0,0.0
408,533380.42,4386019.74,0.0,0.0
409,533371.26,4386025.14,0.0,0.0
410,533362.52,4386030.99,0.0,0.0
411,533352.86,4386034.49,0.0,0.0
412,533344.08,4386040.26,0.0,0.0
413,533335.57,4386044.9,0.0,0.0
414,533325.54,4386049.65,0.0,0.0
415,533314.7,4386052.86,0.0,0.0
416,533384.17,4385974.12,0.0,0.0
417,533366.73,4385983.52,0.0,0.0
418,533347.9,4385995.05,0.0,0.0
419,533364.33,4386194.66,0.0,0.0
420,533370.2,4386186.7,0.0,0.0
421,533378.11,4386182.85,0.0,0.0
422,533388.52,4386178.12,0.0,0.0
423,533393.01,4386171.59,0.0,0.0
424,533401.27,4386167.19,0.0,0.0
425,533410.15,4386159.01,0.0,0.0
426,533415.84,4386153.04,0.0,0.0
427,533422.21,4386148.63,0.0,0.0
428,533434.93,4386144.69,0.0,0.0
429,533443.36,4386140.51,0.0,0.0
430,533449.13,4386135.1,0.0,0.0
431,533457.13,4386129.92,0.0,0.0
432,533466.18,4386120.97,0.0,0.0
433,533475.49,4386113.68,0.0,0.0
434,533482.21,4386106.5,0.0,0.0
435,533494.98,4386109.99,0.0,0.0
436,533504.96,4386105.04,0.0,0.0
437,533513.58,4386097.75,0.0,0.0
438,533520.21,4386091.12,0.0,0.0
439,533527.8,4386082.94,0.0,0.0
440,533539.07,4386076.44,0.0,0.0
441,533452.61,4386004.59,0.0,0.0
442,533444.53,4386008.22,0.0,0.0
443,533436.43,4386016.51,0.0,0.0
444,533427.05,4386021.69,0.0,0.0
445,533420.07,4386028.09,0.0,0.0
446,533410.35,4386033.38,0.0,0.0
447,533403.02,4386040.56,0.0,0.0
448,533391.24,4386046.17,0.0,0.0
449,533382.2,4386052.57,0.0,0.0
